Zone_x,Code zone,pop_2017,TCAM,prixpoulet,indexpolitic,Disponibilité alimentaire (Kcal/personne/jour),Exportations - Quantité,Importations - Quantité,Nourriture,TCAM_pib,Investment,Pib_hab17
Maldives,132,496402.0,3.461294052460895,2705.777777777778,0.29,47.0,2.6666666666666665,12.0,7.0,7.471629543028313,457.808314,9577.289370308741
Mali,133,18512430.0,2.412370187812707,3653.8333333333335,-1.83,9.0,3.0,1.0,52.0,3.4781619518819085,560.747636,830.0213996217676
Malte,134,437933.0,0.4172868376814298,1341.7,1.17,103.0,0.0,9.0,12.0,5.7132954273881875,3429.193643,30850.173569929648
Maroc,143,35581255.0,1.0519871093356725,1430.2,-0.34,70.0,1.0,3.0,746.0,1.4156298346325036,2686.029715,3082.5993044652305
Maurice,137,1264499.0,0.15587329021302665,1911.8,0.96,128.0,0.0,2.0,48.0,2.066151918011472,616.042093,10485.851087268555
Mauritanie,136,4282570.0,2.2957523380094713,2988.4666666666667,-0.66,11.0,2.6666666666666665,24.0,22.0,2.241877122824132,588.2,1587.8633535470524
Mexique,138,124777324.0,0.951461483215521,1396.55,-0.72,123.0,9.0,972.0,4058.0,-1.456003378985915,34130.86499,9287.841557324951
Mongolie,141,3113786.0,1.5184817169966003,2051.1222222222223,0.78,9.0,3.0,10.0,9.0,1.403188035835723,2086.3,3669.4092349313664
Monténégro,273,627563.0,0.03712264856501335,2705.777777777778,0.1,55.0,0.0,8.0,10.0,3.719959579985721,558.565764,7738.844300890906
Mozambique,144,28649018.0,2.3309733007016,2280.4,-0.84,13.0,2.6666666666666665,24.0,103.0,-3.47389066910766,2374.888,461.4147535528094
Myanmar,28,53382523.0,0.5402194396047832,3682.7666666666664,-1.08,116.0,0.0,3.0,1621.0,0.9882326118008766,4784.311,1277.7436979327483
Namibie,147,2402633.0,1.4931921546806226,1923.4833333333336,0.69,40.0,12.0,29.0,28.0,1.9458986944263401,279.946036,5363.907541434751
Nicaragua,157,6384846.0,1.02948453856464,1581.6500000000003,-0.3,93.0,0.0,6.0,138.0,1.8569178574126877,1035.3,2159.158239525276
Niger,158,21602382.0,3.127305658659174,3141.766666666667,-1.2,3.0,0.0,3.0,20.0,3.3233096242677673,338.71071,517.7718809434997
Nigéria,159,190873244.0,2.115934411413889,2533.1333333333337,-1.98,2.0,0.0,0.0,192.0,-5.793732645904715,2412.974916,1968.687237300792
Norvège,162,5296326.0,0.749802814499323,2317.5,1.17,66.0,0.0,2.0,101.0,-2.5955343795688868,-5849.000262,75220.81444174697
Nouvelle-Calédonie,153,277150.0,0.8990570054246749,6719.9,0.24666666666666667,136.0,2.6666666666666665,9.0,11.0,-1.5018885987604702,-410.14614,33101.384337001626
Nouvelle-Zélande,156,4702034.0,0.7573645176156107,1315.2,1.55,140.0,23.0,1.0,164.0,1.0353570136200085,2428.574474,43943.48462814178
Népal,149,27632681.0,0.8691260705670834,2572.3,-0.76,7.0,9.333333333333334,0.0,55.0,7.1843649179936575,197.775964,1065.5142069276594
Oman,221,4665928.0,3.6998229171974373,3290.633333333333,0.74,73.0,16.0,126.0,101.0,-0.22360795953640933,2918.075423,15130.543438089915
Ouganda,226,41166588.0,2.970358789609895,2243.5055555555555,-0.7,5.0,0.0,0.0,62.0,-2.6625130149646847,656.314784,767.1017045911116
Ouzbékistan,235,31959785.0,1.3125109916472644,1709.3999999999996,-0.3,6.0,17.666666666666668,140.0,384.3333333333333,-8.047982593507253,1797.341436,1851.0746771293987
Pakistan,165,207906209.0,1.675888262895353,1064.35,-2.41,20.0,4.0,2.0,1218.0,2.6803409249822385,2496.121897,1455.9917418243147
Panama,166,4106769.0,1.3743283137255258,5048.5,0.36,117.0,0.0,20.0,139.0,5.397256764689717,4176.645,15146.390070637039
Paraguay,169,6867061.0,1.0578815420255516,3199.966666666667,0.03,22.0,4.0,1.0,41.0,-0.07564122231114023,336.482,5678.867540131069
Pays-Bas,150,17021347.0,0.19698681284232578,929.6,0.9,70.0,1418.0,608.0,346.0,0.5124011806876494,46114.227904,48989.6388157177
Philippines,171,105172925.0,1.192595996717194,1828.8,-1.13,48.0,2.0,249.0,1459.0,3.1178189095569575,10184.006,3123.244296457477
Pologne,173,37953180.0,-0.08915444648711635,890.6,0.6,107.0,1025.0,55.0,1150.0,1.6045110655005468,9172.340071,13872.46690662021
Polynésie française,70,276102.0,0.43592442555719924,2907.0111111111114,0.3633333333333333,167.0,0.0,15.0,13.0,0.4953840592578862,-74.588377,21127.52781218535
Portugal,174,10288527.0,-0.3129948699913565,969.3,1.04,109.0,44.0,82.0,315.0,1.0840087205365334,7752.149208,21515.021024778376
Pérou,170,31444298.0,1.2314284039944612,1483.3,-0.28,62.0,1.0,60.0,424.0,2.0817947978967855,46.969,6710.531502913501
Roumanie,183,19653969.0,-0.5345503056606193,1436.15,0.15,66.0,69.0,146.0,381.0,3.8433620200621244,5419.053106,10771.150493724703
Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,229,66727460.99999999,0.5199566301117287,1350.8666666666668,0.34,120.0,359.0,779.0,2131.0,-1.2376726105313818,96378.285155,40448.36525566289
Rwanda,184,11980961.0,2.1077082538832226,3342.9,0.04,5.0,0.0,0.0,18.0,3.1891292817449957,356.4365,772.2931702223219
République centrafricaine,37,4596023.0,0.8898682361016652,3374.922222222222,-1.97,8.0,2.6666666666666665,4.0,11.0,3.255034284186409,6.888751,450.9006969721431
République de Corée,117,51096415.0,0.2218243309633161,1354.45,0.34,62.0,6.0,137.0,854.0,3.048128013207174,17912.9,31781.123319688868
